개방성,성실성,외향성,친화성,신경성,캐릭터 이름,여행지 추천
높음,높음,높음,높음,높음,활동가 모험가,"다양한 활동을 제공하는 도시 여행지, 풍부한 문화와 역사를 가진 곳, 다양한 사람들을 만날 수 있는 축제나 이벤트가 있는 곳"
높음,높음,높음,높음,낮음,평온한 모험가,"자연과 함께하는 여행지, 조용한 마을이나 휴양지"
높음,높음,높음,낮음,높음,조용한 탐험가,"조용한 자연 풍경, 문화유산, 또는 역사적인 장소"
높음,높음,높음,낮음,낮음,평화로운 탐험가,"조용한 해변, 휴양지, 또는 스파"
높음,높음,낮음,높음,높음,열정적인 계획가,"잘 계획된 투어, 역사적인 명소, 또는 문화적인 이벤트"
높음,높음,낮음,높음,낮음,차분한 계획가,"조용한 자연 풍경, 문화유산, 또는 역사적인 장소"
높음,높음,낮음,낮음,높음,조용한 철학가,"조용한 도서관, 박물관, 또는 아트 갤러리"
높음,높음,낮음,낮음,낮음,평화로운 철학가,"조용한 해변, 휴양지, 또는 스파"
높음,낮음,높음,높음,높음,사교적인 모험가,"다양한 사람들을 만날 수 있는 축제, 이벤트, 또는 파티가 있는 곳"
높음,낮음,높음,높음,낮음,친절한 모험가,친절한 지역 사람들을 만날 수 있는 작은 마을이나 지역 커뮤니티
높음,낮음,높음,낮음,높음,독립적인 여행자,"혼자서 탐험할 수 있는 자연 풍경, 산책로, 또는 트레킹 코스"
높음,낮음,높음,낮음,낮음,평화로운 여행자,"조용한 해변, 휴양지, 또는 스파"
높음,낮음,낮음,높음,높음,열정적인 리더,"다양한 팀 활동, 스포츠 이벤트, 또는 리더십 트레이닝을 제공하는 곳"
높음,낮음,낮음,높음,낮음,친절한 리더,친절한 지역 사람들을 만날 수 있는 작은 마을이나 지역 커뮤니티
높음,낮음,낮음,낮음,높음,조용한 리더,"조용한 도서관, 박물관, 또는 아트 갤러리"
높음,낮음,낮음,낮음,낮음,평화로운 리더,"조용한 해변, 휴양지, 또는 스파"
낮음,높음,높음,높음,높음,사교적인 독립가,"다양한 사람들을 만날 수 있는 축제, 이벤트, 또는 파티가 있는 곳"
낮음,높음,높음,높음,낮음,친절한 독립가,친절한 지역 사람들을 만날 수 있는 작은 마을이나 지역 커뮤니티
낮음,높음,높음,낮음,높음,독립적인 철학가,"혼자서 탐험할 수 있는 자연 풍경, 산책로, 또는 트레킹 코스"
낮음,높음,높음,낮음,낮음,평화로운 철학가,"조용한 해변, 휴양지, 또는 스파"
낮음,높음,낮음,높음,높음,사교적인 평화주의자,"다양한 사람들을 만날 수 있는 축제, 이벤트, 또는 파티가 있는 곳"
낮음,높음,낮음,높음,낮음,친절한 평화주의자,친절한 지역 사람들을 만날 수 있는 작은 마을이나 지역 커뮤니티
낮음,높음,낮음,낮음,높음,독립적인 평화주의자,"혼자서 탐험할 수 있는 자연 풍경, 산책로, 또는 트레킹 코스"
낮음,높음,낮음,낮음,낮음,평화로운 평화주의자,"조용한 해변, 휴양지, 또는 스파"
낮음,낮음,높음,높음,높음,사교적인 리더,"다양한 팀 활동, 스포츠 이벤트, 또는 리더십 트레이닝을 제공하는 곳"
낮음,낮음,높음,높음,낮음,친절한 리더,친절한 지역 사람들을 만날 수 있는 작은 마을이나 지역 커뮤니티
낮음,낮음,높음,낮음,높음,독립적인 리더,"혼자서 탐험할 수 있는 자연 풍경, 산책로, 또는 트레킹 코스"
낮음,낮음,높음,낮음,낮음,평화로운 리더,"조용한 해변, 휴양지, 또는 스파"
낮음,낮음,낮음,높음,높음,사교적인 독립가,"다양한 사람들을 만날 수 있는 축제, 이벤트, 또는 파티가 있는 곳"
낮음,낮음,낮음,높음,낮음,친절한 독립가,친절한 지역 사람들을 만날 수 있는 작은 마을이나 지역 커뮤니티
낮음,낮음,낮음,낮음,높음,독립적인 철학가,"혼자서 탐험할 수 있는 자연 풍경, 산책로, 또는 트레킹 코스"
낮음,낮음,낮음,낮음,낮음,평화로운 철학가,"조용한 해변, 휴양지, 또는 스파"
